,Customer_ID,Age,Gender,Campaign_Exposure,Transaction_Category,Purchase_Amount,Premium_Product
0,1,39,Male,1,Electronics,93.7750392847186,0
1,1,39,Male,1,Home Essentials,65.57326631220882,0
2,1,39,Male,1,Home Essentials,61.9827185470395,0
3,1,39,Male,1,Electronics,46.487828364471156,1
4,1,39,Male,1,Home Essentials,93.13807122687072,0
5,1,39,Male,1,Clothing,47.59718171492945,1
6,1,39,Male,1,Clothing,57.59641462921613,0
7,1,39,Male,1,Clothing,48.7148837152385,0
8,1,39,Male,1,Home Essentials,62.59669220435913,0
9,1,39,Male,1,Electronics,94.2156479771567,0
10,1,39,Male,1,Home Essentials,38.25344326616008,1
11,1,39,Male,1,Home Essentials,62.70127834204479,1
12,1,39,Male,1,Electronics,69.3855480051794,1
13,1,39,Male,1,Electronics,40.50402876073567,0
14,1,39,Male,1,Electronics,58.58361945334272,1
15,2,33,Female,0,Clothing,87.02680238982157,0
16,2,33,Female,0,Home Essentials,14.630213442240965,0
17,2,33,Female,0,Electronics,41.57598523685196,1
18,2,33,Female,0,Home Essentials,55.01119013860185,1
19,2,33,Female,0,Clothing,42.48114061335488,0
20,2,33,Female,0,Clothing,107.72494941128224,1
21,2,33,Female,0,Electronics,60.97381472962586,0
22,2,33,Female,0,Electronics,29.112616742810484,0
23,2,33,Female,0,Home Essentials,3.2648128935938203,0
24,3,41,Male,0,Electronics,56.805517255037074,1
25,3,41,Male,0,Home Essentials,34.887617523849215,0
26,3,41,Male,0,Electronics,75.77797012557306,0
27,3,41,Male,0,Home Essentials,44.502688741792326,0
28,3,41,Male,0,Home Essentials,38.63296718660939,0
29,4,50,Female,0,Home Essentials,38.295056857100306,0
30,4,50,Female,0,Home Essentials,69.73018347658557,0
31,4,50,Female,0,Clothing,58.311660796679284,0
32,4,50,Female,0,Home Essentials,85.11913447581756,0
33,4,50,Female,0,Electronics,45.697857675936234,1
34,4,50,Female,0,Clothing,67.24558824106066,1
35,4,50,Female,0,Clothing,67.58752168823293,0
36,5,32,Male,1,Home Essentials,76.17152287352542,1
37,5,32,Male,1,Clothing,47.763412342880585,1
38,5,32,Male,1,Home Essentials,71.36179272109891,0
39,5,32,Male,1,Electronics,57.666181438463965,1
40,5,32,Male,1,Home Essentials,57.03560949380298,0
41,5,32,Male,1,Clothing,40.66055299955363,0
42,5,32,Male,1,Electronics,9.11187021046264,0
43,5,32,Male,1,Home Essentials,89.96103274075644,0
44,5,32,Male,1,Electronics,70.35740086286353,0
45,5,32,Male,1,Electronics,27.763242727753767,1
46,5,32,Male,1,Clothing,77.22505105315155,0
47,5,32,Male,1,Electronics,90.43525183176583,1
48,5,32,Male,1,Clothing,78.66401872118789,0
49,5,32,Male,1,Electronics,38.60068370800967,1
50,5,32,Male,1,Home Essentials,42.43219457914086,0
51,6,32,Male,1,Electronics,46.85097564366125,0
52,6,32,Male,1,Home Essentials,80.66603534889147,0
53,6,32,Male,1,Home Essentials,71.49503662003222,0
54,6,32,Male,1,Electronics,126.96699891715645,0
55,6,32,Male,1,Home Essentials,20.61875851877081,0
56,6,32,Male,1,Electronics,58.73763992235204,0
